,PSRAID,COUNTRY,Trust0,Trust1,Arrogance0,Arrogance1,Compassion0,Compassion1,Gender,Age
105,101108,Czech Republic,Don't know,Don't know,Don't know,Great Britain/United Kingdom,Slovenia,Don't know,Male,65+
106,101109,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,65+
107,101110,Czech Republic,Don't know,Greece,Belgium,France,Don't know,Don't know,Male,65+
108,101111,Czech Republic,Austria,Poland,Germany,Czech Republic,Czech Republic,Hungary,Male,30-49
109,101112,Czech Republic,Don't know,Greece,Poland,Czech Republic,Don't know,Don't know,Male,65+
110,101113,Czech Republic,Slovakia,Greece,Netherlands,Germany,France,Hungary,Male,18-29
111,101114,Czech Republic,Germany,Romania,Don't know,Germany,Slovakia,France,Female,50-64
112,101115,Czech Republic,Slovakia,Bulgaria,Germany,Slovakia,Slovakia,Bulgaria,Female,18-29
113,101116,Czech Republic,Don't know,Germany,Germany,Ireland,Czech Republic,Germany,Female,30-49
114,101117,Czech Republic,Czech Republic,Latvia,Poland,Slovakia,Bulgaria,Malta,Female,18-29
115,101118,Czech Republic,Germany,France,Austria,Spain,Germany,Don't know,Male,50-64
116,101119,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,65+
117,101120,Czech Republic,France,Refused,Netherlands,Luxembourg,France,Germany,Male,30-49
118,101121,Czech Republic,Sweden,Don't know,Germany,Netherlands,Don't know,Slovenia,Female,65+
119,101122,Czech Republic,Czech Republic,Don't know,Greece,Czech Republic,Czech Republic,Don't know,Male,50-64
120,101123,Czech Republic,Don't know,Romania,Germany,Slovakia,Poland,Italy,Male,30-49
121,101124,Czech Republic,Don't know,Don't know,Germany,Czech Republic,Czech Republic,Germany,Female,30-49
122,101125,Czech Republic,Germany,Greece,Don't know,Don't know,Don't know,Don't know,Male,30-49
123,101126,Czech Republic,Greece,Italy,Don't know,Don't know,Greece,Germany,Female,50-64
124,101127,Czech Republic,Don't know,Germany,Don't know,Don't know,Italy,Don't know,Female,30-49
125,101128,Czech Republic,Don't know,Don't know,Germany,Don't know,Don't know,Don't know,Female,50-64
126,101129,Czech Republic,Don't know,Poland,Germany,Czech Republic,Don't know,Don't know,Female,30-49
127,101130,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Czech Republic,Female,50-64
128,101131,Czech Republic,Denmark,Greece,Don't know,Don't know,Don't know,Don't know,Male,50-64
129,101132,Czech Republic,Germany,Greece,France,Spain,Italy,Don't know,Female,18-29
130,101133,Czech Republic,Great Britain/United Kingdom,Italy,Austria,Slovakia,Belgium,Poland,Male,65+
131,101134,Czech Republic,Don't know,Don't know,Czech Republic,Don't know,Don't know,Don't know,Female,30-49
132,101135,Czech Republic,Don't know,Czech Republic,Don't know,Don't know,Don't know,Czech Republic,Male,65+
133,101136,Czech Republic,Germany,Hungary,Germany,Poland,Czech Republic,Hungary,Female,18-29
134,101137,Czech Republic,Don't know,Germany,Germany,Don't know,Don't know,Don't know,Female,30-49
135,101138,Czech Republic,Don't know,Don't know,Germany,Greece,Don't know,Don't know,Female,65+
136,101139,Czech Republic,France,Czech Republic,Germany,Italy,Spain,Czech Republic,Male,18-29
137,101140,Czech Republic,Slovakia,Romania,Germany,Slovakia,Don't know,Don't know,Male,65+
138,101141,Czech Republic,Slovakia,Germany,Hungary,Czech Republic,Don't know,Germany,Female,30-49
139,101142,Czech Republic,Estonia,Greece,Germany,Don't know,Poland,Germany,Male,65+
140,101143,Czech Republic,Bulgaria,Don't know,Germany,Bulgaria,Don't know,Don't know,Female,65+
141,101144,Czech Republic,Germany,Romania,Austria,Poland,Poland,Germany,Female,30-49
142,101145,Czech Republic,Refused,Refused,Refused,Refused,Refused,Refused,Female,30-49
143,101146,Czech Republic,Czech Republic,Germany,Germany,Spain,Don't know,Germany,Male,65+
144,101147,Czech Republic,Slovenia,Great Britain/United Kingdom,Great Britain/United Kingdom,Slovenia,Czech Republic,Germany,Male,50-64
145,101148,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,65+
146,101149,Czech Republic,Don't know,Don't know,Don't know,Greece,Poland,Don't know,Female,65+
147,101150,Czech Republic,Belgium,Greece,France,Finland,Czech Republic,Great Britain/United Kingdom,Male,18-29
148,101151,Czech Republic,Great Britain/United Kingdom,Don't know,Don't know,Don't know,Don't know,Don't know,Female,30-49
149,101152,Czech Republic,Austria,Spain,Germany,Don't know,Don't know,Don't know,Male,30-49
150,101153,Czech Republic,Belgium,Slovakia,Don't know,Don't know,Don't know,Don't know,Male,18-29
151,101154,Czech Republic,Great Britain/United Kingdom,Romania,Germany,Czech Republic,Czech Republic,Don't know,Female,30-49
152,101155,Czech Republic,Don't know,Greece,Germany,Don't know,Don't know,Don't know,Male,65+
153,101156,Czech Republic,Germany,Greece,Don't know,Czech Republic,Germany,Don't know,Male,65+
154,101157,Czech Republic,Finland,Romania,Germany,Finland,Sweden,Romania,Male,30-49
155,101158,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,18-29
156,101159,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,18-29
157,101160,Czech Republic,Great Britain/United Kingdom,Greece,France,Great Britain/United Kingdom,Great Britain/United Kingdom,Germany,Male,18-29
158,101161,Czech Republic,Germany,Greece,Don't know,Don't know,Don't know,Don't know,Male,65+
159,101162,Czech Republic,Don't know,Czech Republic,Don't know,Don't know,Don't know,Don't know,Female,50-64
160,101163,Czech Republic,France,Don't know,Germany,France,Don't know,Don't know,Female,30-49
161,101164,Czech Republic,France,Czech Republic,Lithuania,France,Italy,Germany,Female,30-49
162,101165,Czech Republic,Netherlands,Romania,Slovakia,Spain,Germany,Finland,Male,30-49
163,101166,Czech Republic,Austria,Greece,Don't know,Spain,Germany,Don't know,Female,30-49
164,101167,Czech Republic,Germany,Bulgaria,France,Denmark,Greece,Germany,Female,50-64
165,101168,Czech Republic,Czech Republic,Germany,France,Slovakia,Poland,Germany,Female,65+
166,101169,Czech Republic,Germany,Greece,Don't know,Don't know,Don't know,Don't know,Male,30-49
167,101170,Czech Republic,Germany,Greece,Sweden,Czech Republic,Austria,Denmark,Male,65+
168,101171,Czech Republic,Czech Republic,Romania,Don't know,Don't know,Slovakia,Germany,Female,65+
169,101172,Czech Republic,Germany,Romania,Great Britain/United Kingdom,Italy,Don't know,Portugal,Male,30-49
170,101173,Czech Republic,Don't know,Don't know,Germany,Don't know,Don't know,Don't know,Female,30-49
171,101174,Czech Republic,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Female,30-49
172,101175,Czech Republic,Germany,Greece,Greece,Poland,Slovakia,France,Male,30-49
173,101176,Czech Republic,Ireland,Greece,France,Ireland,Don't know,Don't know,Male,30-49
174,101177,Czech Republic,Germany,Poland,Greece,Germany,Germany,Don't know,Male,30-49
175,101178,Czech Republic,Don't know,Don't know,Germany,Slovakia,Slovakia,Don't know,Female,50-64
176,101179,Czech Republic,Germany,Greece,France,Czech Republic,Italy,Great Britain/United Kingdom,Female,18-29
177,101180,Czech Republic,Germany,Czech Republic,Czech Republic,Great Britain/United Kingdom,Poland,Czech Republic,Male,50-64
178,101181,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,30-49
179,101182,Czech Republic,Don't know,Czech Republic,Czech Republic,Don't know,Don't know,Don't know,Female,50-64
180,101183,Czech Republic,Netherlands,Czech Republic,Slovakia,Czech Republic,Don't know,Germany,Male,50-64
181,101184,Czech Republic,Germany,Czech Republic,Germany,Don't know,Don't know,Germany,Male,30-49
182,101185,Czech Republic,Don't know,Germany,Don't know,Belgium,Sweden,Lithuania,Female,65+
183,101186,Czech Republic,Germany,Bulgaria,Germany,Czech Republic,Romania,Germany,Female,50-64
184,101187,Czech Republic,Don't know,Slovakia,Germany,Don't know,Greece,Germany,Female,30-49
185,101188,Czech Republic,Germany,Bulgaria,France,Slovakia,Poland,Don't know,Female,65+
186,101189,Czech Republic,Don't know,Czech Republic,Germany,Don't know,Don't know,Don't know,Female,65+
187,101190,Czech Republic,Italy,Germany,Austria,Poland,Greece,France,Male,30-49
188,101191,Czech Republic,Slovakia,Refused,Don't know,Don't know,Don't know,Don't know,Male,50-64
189,101192,Czech Republic,Austria,Czech Republic,Germany,France,Don't know,Don't know,Male,18-29
190,101193,Czech Republic,Finland,Greece,Greece,Great Britain/United Kingdom,Slovakia,Romania,Male,50-64
191,101194,Czech Republic,Don't know,Germany,Germany,Italy,Italy,Czech Republic,Female,18-29
192,101195,Czech Republic,Don't know,Germany,Don't know,Poland,Don't know,Don't know,Female,50-64
193,101196,Czech Republic,Don't know,Don't know,Czech Republic,Don't know,Don't know,Don't know,Female,65+
194,101197,Czech Republic,Don't know,Don't know,Don't know,Don't know,Czech Republic,Don't know,Female,50-64
195,101198,Czech Republic,Don't know,France,Germany,Don't know,Don't know,Don't know,Male,65+
196,101199,Czech Republic,France,Italy,Germany,Sweden,Don't know,Germany,Male,30-49
197,101200,Czech Republic,Austria,Slovakia,Germany,Don't know,Austria,Italy,Male,30-49
198,101201,Czech Republic,Germany,Greece,Romania,France,Sweden,Romania,Male,50-64
199,101202,Czech Republic,Italy,France,France,Italy,Germany,Austria,Male,18-29
200,101203,Czech Republic,Austria,Italy,Austria,Slovakia,Slovakia,Germany,Male,30-49
201,101204,Czech Republic,Great Britain/United Kingdom,Greece,Don't know,Spain,Sweden,Germany,Female,50-64
202,101205,Czech Republic,Germany,Romania,Austria,Don't know,Slovakia,Bulgaria,Male,30-49
203,101206,Czech Republic,Don't know,Don't know,Don't know,Don't know,Slovakia,Don't know,Female,30-49
204,101207,Czech Republic,Sweden,Italy,Romania,Greece,Czech Republic,France,Female,50-64
205,101208,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,65+
206,101209,Czech Republic,Germany,Greece,Don't know,Don't know,Don't know,Don't know,Male,30-49
207,101210,Czech Republic,Germany,Romania,France,Germany,Czech Republic,France,Female,30-49
208,101211,Czech Republic,Slovakia,Don't know,Italy,Czech Republic,Czech Republic,Don't know,Male,30-49
209,101212,Czech Republic,Sweden,Don't know,Don't know,Don't know,Don't know,Don't know,Male,65+
210,101213,Czech Republic,France,Don't know,Poland,France,Czech Republic,Germany,Male,65+
211,101214,Czech Republic,Great Britain/United Kingdom,Don't know,Don't know,Great Britain/United Kingdom,Don't know,Don't know,Male,30-49
212,101215,Czech Republic,Netherlands,Greece,Germany,Netherlands,Don't know,Czech Republic,Male,30-49
213,101216,Czech Republic,Italy,Don't know,Italy,Slovakia,Italy,Czech Republic,Female,30-49
214,101217,Czech Republic,Don't know,Czech Republic,Germany,Don't know,Czech Republic,Germany,Male,30-49
215,101218,Czech Republic,Czech Republic,Poland,Germany,France,Don't know,Don't know,Female,50-64
216,101219,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,50-64
217,101220,Czech Republic,Don't know,Czech Republic,Don't know,France,Don't know,Great Britain/United Kingdom,Female,50-64
218,101221,Czech Republic,Germany,Slovakia,Czech Republic,Poland,Czech Republic,Germany,Female,30-49
219,101222,Czech Republic,Germany,Czech Republic,Austria,Czech Republic,Don't know,Germany,Female,18-29
220,101223,Czech Republic,Sweden,Germany,Germany,Austria,Czech Republic,Germany,Female,50-64
221,101224,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,30-49
222,101225,Czech Republic,Denmark,Bulgaria,Czech Republic,Denmark,Ireland,Don't know,Male,30-49
223,101226,Czech Republic,Czech Republic,Estonia,Germany,Slovakia,Poland,Germany,Female,30-49
224,101227,Czech Republic,Sweden,Greece,Germany,Italy,France,Don't know,Male,30-49
225,101228,Czech Republic,Germany,Greece,Don't know,Germany,Don't know,Don't know,Female,50-64
226,101229,Czech Republic,Great Britain/United Kingdom,Romania,Don't know,Netherlands,Italy,Don't know,Male,30-49
227,101230,Czech Republic,Slovakia,Czech Republic,Czech Republic,Slovakia,Czech Republic,Poland,Female,50-64
228,101231,Czech Republic,Germany,Greece,Don't know,Germany,Finland,Don't know,Female,50-64
229,101232,Czech Republic,Don't know,Don't know,Don't know,Don't know,Slovakia,Don't know,Female,50-64
230,101233,Czech Republic,Germany,Greece,Germany,Italy,Czech Republic,Poland,Female,50-64
231,101234,Czech Republic,Germany,Greece,France,Austria,Czech Republic,Greece,Male,50-64
232,101235,Czech Republic,Germany,Greece,France,Slovakia,Czech Republic,Great Britain/United Kingdom,Female,65+
233,101236,Czech Republic,Sweden,Romania,Germany,Don't know,Don't know,Germany,Male,65+
234,101237,Czech Republic,Slovakia,Refused,Refused,Refused,Refused,Refused,Male,50-64
235,101238,Czech Republic,Great Britain/United Kingdom,Greece,Great Britain/United Kingdom,France,Germany,Don't know,Female,30-49
236,101239,Czech Republic,Sweden,Czech Republic,Germany,Don't know,Don't know,Germany,Male,30-49
237,101240,Czech Republic,Don't know,Poland,Greece,Slovakia,Don't know,Don't know,Male,30-49
238,101241,Czech Republic,Sweden,Greece,France,Czech Republic,Don't know,Germany,Male,30-49
239,101242,Czech Republic,Spain,Czech Republic,Germany,France,Slovakia,Germany,Male,18-29
240,101243,Czech Republic,Finland,Don't know,France,Don't know,Don't know,Don't know,Male,30-49
241,101244,Czech Republic,Netherlands,Italy,France,Poland,Netherlands,Germany,Female,30-49
242,101245,Czech Republic,Greece,Slovakia,Germany,Spain,Denmark,Austria,Male,65+
243,101246,Czech Republic,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Male,50-64
244,101247,Czech Republic,Don't know,Don't know,Don't know,Poland,Don't know,Germany,Male,30-49
245,101248,Czech Republic,France,Greece,France,Czech Republic,Germany,Slovakia,Female,18-29
246,101249,Czech Republic,Don't know,Germany,Germany,Slovakia,Don't know,Germany,Male,30-49
247,101250,Czech Republic,Don't know,Don't know,Germany,Italy,Italy,Germany,Female,30-49
248,101251,Czech Republic,Don't know,Poland,Don't know,Austria,Don't know,Don't know,Female,50-64
249,101252,Czech Republic,Sweden,Don't know,Don't know,Don't know,Don't know,Germany,Female,65+
250,101253,Czech Republic,Germany,Italy,Don't know,Czech Republic,Don't know,Don't know,Male,50-64
251,101254,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,50-64
252,101255,Czech Republic,Don't know,Germany,Germany,Poland,Don't know,Don't know,Female,50-64
253,101256,Czech Republic,Germany,Czech Republic,Italy,Poland,Spain,Czech Republic,Male,30-49
254,101257,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,30-49
255,101258,Czech Republic,Austria,Greece,France,Great Britain/United Kingdom,Sweden,Italy,Female,30-49
256,101259,Czech Republic,Spain,Don't know,Austria,Spain,Don't know,Don't know,Male,30-49
257,101260,Czech Republic,Don't know,Germany,Germany,Poland,Czech Republic,Germany,Female,65+
258,101261,Czech Republic,Sweden,Don't know,Germany,Don't know,Don't know,Don't know,Female,65+
259,101262,Czech Republic,Finland,Romania,France,Czech Republic,Italy,Germany,Male,30-49
260,101263,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,30-49
261,101264,Czech Republic,Don't know,Don't know,Germany,Don't know,Czech Republic,Germany,Female,30-49
262,101265,Czech Republic,Don't know,Don't know,Germany,Don't know,Don't know,Germany,Female,50-64
263,101266,Czech Republic,Don't know,Germany,Don't know,Don't know,Don't know,Germany,Female,50-64
264,101267,Czech Republic,Germany,Greece,Great Britain/United Kingdom,France,Spain,Don't know,Male,50-64
265,101268,Czech Republic,Sweden,Greece,Don't know,France,Don't know,Don't know,Male,50-64
266,101269,Czech Republic,Sweden,Romania,Germany,Sweden,Don't know,Don't know,Female,50-64
267,101270,Czech Republic,Austria,Germany,Germany,Slovakia,Slovakia,Germany,Female,30-49
268,101271,Czech Republic,Germany,Don't know,Germany,Czech Republic,Czech Republic,Don't know,Female,65+
269,101272,Czech Republic,Czech Republic,Don't know,Germany,Don't know,Don't know,Don't know,Male,50-64
270,101273,Czech Republic,Germany,Don't know,Don't know,Don't know,Netherlands,Poland,Male,65+
271,101274,Czech Republic,Germany,Greece,Spain,Slovakia,Poland,Don't know,Female,65+
272,101275,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,50-64
273,101276,Czech Republic,Belgium,Czech Republic,Germany,France,France,Slovakia,Female,30-49
274,101277,Czech Republic,Ireland,Portugal,Don't know,Don't know,Ireland,Germany,Female,30-49
275,101278,Czech Republic,Slovakia,Greece,Great Britain/United Kingdom,Slovakia,Slovakia,Don't know,Female,50-64
276,101279,Czech Republic,Greece,Germany,Denmark,Spain,Italy,Germany,Female,65+
277,101280,Czech Republic,Austria,Greece,France,Finland,Don't know,Don't know,Female,50-64
278,101281,Czech Republic,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Male,18-29
279,101282,Czech Republic,Sweden,Greece,Germany,Finland,Don't know,Don't know,Male,30-49
280,101283,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,30-49
281,101284,Czech Republic,France,Austria,Germany,Czech Republic,Don't know,Germany,Male,65+
282,101285,Czech Republic,Belgium,Greece,Greece,Don't know,Don't know,Poland,Female,18-29
283,101286,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,65+
