PSRAID,COUNTRY,Trust0,Trust1,Arrogance0,Arrogance1,Compassion0,Compassion1,Gender,Age
101025,Czech Republic,Great Britain/United Kingdom,Estonia,Estonia,Austria,France,Sweden,Female,84
101026,Czech Republic,Sweden,Poland,Germany,Sweden,Czech Republic,Germany,Male,48
101027,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,71
101028,Czech Republic,Great Britain/United Kingdom,Bulgaria,Czech Republic,Spain,Spain,Don't know,Male,32
101029,Czech Republic,Czech Republic,Don't know,Germany,Czech Republic,Czech Republic,Slovakia,Female,39
101030,Czech Republic,Don't know,Greece,Germany,Czech Republic,Don't know,Germany,Female,49
101031,Czech Republic,Sweden,Italy,Germany,Don't know,Don't know,Germany,Male,58
101032,Czech Republic,Don't know,Germany,Germany,Slovakia,Don't know,Don't know,Female,55
101033,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,55
101034,Czech Republic,Great Britain/United Kingdom,Bulgaria,France,Germany,Refused,Refused,Male,43
101035,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,30
101036,Czech Republic,Don't know,Greece,Don't know,Refused,Don't know,Don't know,Female,58
101037,Czech Republic,Germany,Greece,France,Slovakia,Don't know,Don't know,Male,50
101038,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,60
101039,Czech Republic,Germany,Greece,Denmark,Germany,France,Germany,Male,35
101040,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,71
101041,Czech Republic,Czech Republic,Italy,Germany,Spain,Poland,Ireland,Male,27
101042,Czech Republic,Germany,Italy,Greece,Sweden,France,Germany,Female,50
101043,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Czech Republic,Female,46
101044,Czech Republic,Slovakia,Don't know,Don't know,Don't know,Spain,Germany,Male,49
101045,Czech Republic,Denmark,Greece,Austria,Sweden,Italy,Slovakia,Male,26
101046,Czech Republic,Slovakia,Poland,Germany,Great Britain/United Kingdom,Germany,Great Britain/United Kingdom,Female,40
101047,Czech Republic,Germany,Romania,Romania,Germany,Don't know,Don't know,Female,40
101048,Czech Republic,Great Britain/United Kingdom,Poland,Don't know,Germany,Greece,Don't know,Female,62
101049,Czech Republic,Sweden,Don't know,Don't know,Austria,Great Britain/United Kingdom,Don't know,Male,36
101050,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,67
101051,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,39
101052,Czech Republic,Slovakia,Czech Republic,Don't know,Don't know,Great Britain/United Kingdom,Don't know,Female,25
101053,Czech Republic,Sweden,Italy,Germany,Don't know,Denmark,Greece,Male,23
101054,Czech Republic,Germany,Greece,Don't know,Don't know,Don't know,Don't know,Male,27
101055,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,37
101056,Czech Republic,Don't know,Czech Republic,Don't know,Don't know,Don't know,Don't know,Female,27
101057,Czech Republic,Great Britain/United Kingdom,Don't know,Don't know,Don't know,Don't know,Don't know,Female,44
101058,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,35
101059,Czech Republic,Slovakia,Don't know,Don't know,Don't know,Don't know,Don't know,Female,44
101060,Czech Republic,Germany,Romania,Germany,Netherlands,France,Germany,Female,41
101061,Czech Republic,Germany,Romania,Germany,Slovakia,Czech Republic,Don't know,Male,69
101062,Czech Republic,Sweden,Poland,Denmark,Slovakia,Don't know,Don't know,Female,72
101063,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,70
101064,Czech Republic,Don't know,Greece,Great Britain/United Kingdom,Netherlands,Don't know,Don't know,Male,64
101065,Czech Republic,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Male,68
101066,Czech Republic,Don't know,Don't know,Greece,Don't know,Poland,Don't know,Male,33
101067,Czech Republic,Czech Republic,Don't know,Don't know,Don't know,Don't know,Czech Republic,Female,67
101068,Czech Republic,Sweden,Don't know,Don't know,Sweden,Don't know,Don't know,Male,72
101069,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,34
101070,Czech Republic,Czech Republic,Greece,Bulgaria,Czech Republic,Czech Republic,Don't know,Female,66
101071,Czech Republic,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Male,79
101072,Czech Republic,Germany,Greece,France,Sweden,Sweden,Germany,Female,27
101073,Czech Republic,Germany,Greece,Germany,France,Czech Republic,Don't know,Female,56
101074,Czech Republic,Slovakia,Don't know,Don't know,Slovakia,Slovakia,Germany,Male,39
101075,Czech Republic,Czech Republic,Germany,Don't know,Czech Republic,Poland,Austria,Female,20
101076,Czech Republic,Germany,Hungary,Czech Republic,France,Don't know,Germany,Male,49
101077,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,33
101078,Czech Republic,Great Britain/United Kingdom,Poland,Germany,Czech Republic,Czech Republic,Germany,Male,62
101079,Czech Republic,Germany,Greece,Don't know,Great Britain/United Kingdom,Poland,Don't know,Female,25
101080,Czech Republic,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Female,31
101081,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,41
101082,Czech Republic,Slovakia,Don't know,Germany,Don't know,Don't know,Don't know,Male,21
101083,Czech Republic,Denmark,Czech Republic,Germany,Denmark,Czech Republic,Germany,Female,24
101084,Czech Republic,Germany,Sweden,Germany,France,Czech Republic,Germany,Female,30
101085,Czech Republic,Germany,Poland,Austria,Czech Republic,Sweden,Austria,Male,30
101086,Czech Republic,Austria,Greece,Don't know,Don't know,Austria,Don't know,Female,71
101087,Czech Republic,Austria,Greece,Germany,Poland,Poland,Don't know,Male,23
101088,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,40
101089,Czech Republic,Don't know,Hungary,Don't know,Great Britain/United Kingdom,Italy,Hungary,Female,28
101090,Czech Republic,Don't know,Don't know,Germany,Finland,Don't know,Don't know,Male,24
101091,Czech Republic,Don't know,Don't know,Germany,Don't know,Don't know,Don't know,Female,69
101092,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,45
101093,Czech Republic,Great Britain/United Kingdom,Don't know,France,Italy,Don't know,Don't know,Male,52
101094,Czech Republic,Sweden,Greece,Germany,Slovakia,Don't know,Germany,Female,65
101095,Czech Republic,Finland,Italy,France,Don't know,Don't know,Don't know,Female,47
101096,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,65
101097,Czech Republic,Great Britain/United Kingdom,Don't know,Germany,Great Britain/United Kingdom,Don't know,Don't know,Female,49
101098,Czech Republic,Germany,Don't know,Don't know,Don't know,Czech Republic,Don't know,Female,59
101099,Czech Republic,Czech Republic,Germany,Germany,Slovakia,Czech Republic,Don't know,Female,35
101100,Czech Republic,France,Czech Republic,Germany,Spain,Slovenia,Germany,Female,44
101101,Czech Republic,Germany,Italy,France,Sweden,Czech Republic,Poland,Female,48
101102,Czech Republic,Great Britain/United Kingdom,Don't know,Germany,Don't know,Don't know,Don't know,Female,69
101103,Czech Republic,Germany,Don't know,Don't know,Greece,Spain,Germany,Female,29
101104,Czech Republic,Great Britain/United Kingdom,Czech Republic,Finland,Great Britain/United Kingdom,Slovakia,Don't know,Female,37
101105,Czech Republic,Don't know,Greece,France,Spain,Don't know,Germany,Male,30
101106,Czech Republic,Don't know,Don't know,Don't know,Czech Republic,Czech Republic,Don't know,Female,56
101107,Czech Republic,Don't know,Greece,Don't know,Don't know,Slovakia,Don't know,Female,56
101108,Czech Republic,Don't know,Don't know,Don't know,Great Britain/United Kingdom,Slovenia,Don't know,Male,71
101109,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,77
101110,Czech Republic,Don't know,Greece,Belgium,France,Don't know,Don't know,Male,73
101111,Czech Republic,Austria,Poland,Germany,Czech Republic,Czech Republic,Hungary,Male,45
101112,Czech Republic,Don't know,Greece,Poland,Czech Republic,Don't know,Don't know,Male,83
101113,Czech Republic,Slovakia,Greece,Netherlands,Germany,France,Hungary,Male,20
101114,Czech Republic,Germany,Romania,Don't know,Germany,Slovakia,France,Female,60
101115,Czech Republic,Slovakia,Bulgaria,Germany,Slovakia,Slovakia,Bulgaria,Female,29
101116,Czech Republic,Don't know,Germany,Germany,Ireland,Czech Republic,Germany,Female,40
101117,Czech Republic,Czech Republic,Latvia,Poland,Slovakia,Bulgaria,Malta,Female,22
101118,Czech Republic,Germany,France,Austria,Spain,Germany,Don't know,Male,61
101119,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,65
101120,Czech Republic,France,Refused,Netherlands,Luxembourg,France,Germany,Male,45
101121,Czech Republic,Sweden,Don't know,Germany,Netherlands,Don't know,Slovenia,Female,69
101122,Czech Republic,Czech Republic,Don't know,Greece,Czech Republic,Czech Republic,Don't know,Male,52
101123,Czech Republic,Don't know,Romania,Germany,Slovakia,Poland,Italy,Male,44
101124,Czech Republic,Don't know,Don't know,Germany,Czech Republic,Czech Republic,Germany,Female,46
101125,Czech Republic,Germany,Greece,Don't know,Don't know,Don't know,Don't know,Male,45
101126,Czech Republic,Greece,Italy,Don't know,Don't know,Greece,Germany,Female,59
101127,Czech Republic,Don't know,Germany,Don't know,Don't know,Italy,Don't know,Female,36
101128,Czech Republic,Don't know,Don't know,Germany,Don't know,Don't know,Don't know,Female,64
101129,Czech Republic,Don't know,Poland,Germany,Czech Republic,Don't know,Don't know,Female,33
101130,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Czech Republic,Female,63
101131,Czech Republic,Denmark,Greece,Don't know,Don't know,Don't know,Don't know,Male,60
101132,Czech Republic,Germany,Greece,France,Spain,Italy,Don't know,Female,23
101133,Czech Republic,Great Britain/United Kingdom,Italy,Austria,Slovakia,Belgium,Poland,Male,71
101134,Czech Republic,Don't know,Don't know,Czech Republic,Don't know,Don't know,Don't know,Female,32
101135,Czech Republic,Don't know,Czech Republic,Don't know,Don't know,Don't know,Czech Republic,Male,66
101136,Czech Republic,Germany,Hungary,Germany,Poland,Czech Republic,Hungary,Female,20
101137,Czech Republic,Don't know,Germany,Germany,Don't know,Don't know,Don't know,Female,37
101138,Czech Republic,Don't know,Don't know,Germany,Greece,Don't know,Don't know,Female,70
101139,Czech Republic,France,Czech Republic,Germany,Italy,Spain,Czech Republic,Male,25
101140,Czech Republic,Slovakia,Romania,Germany,Slovakia,Don't know,Don't know,Male,67
101141,Czech Republic,Slovakia,Germany,Hungary,Czech Republic,Don't know,Germany,Female,38
101142,Czech Republic,Estonia,Greece,Germany,Don't know,Poland,Germany,Male,65
101143,Czech Republic,Bulgaria,Don't know,Germany,Bulgaria,Don't know,Don't know,Female,67
101144,Czech Republic,Germany,Romania,Austria,Poland,Poland,Germany,Female,39
101145,Czech Republic,Refused,Refused,Refused,Refused,Refused,Refused,Female,49
101146,Czech Republic,Czech Republic,Germany,Germany,Spain,Don't know,Germany,Male,67
101147,Czech Republic,Slovenia,Great Britain/United Kingdom,Great Britain/United Kingdom,Slovenia,Czech Republic,Germany,Male,63
101148,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,77
101149,Czech Republic,Don't know,Don't know,Don't know,Greece,Poland,Don't know,Female,75
101150,Czech Republic,Belgium,Greece,France,Finland,Czech Republic,Great Britain/United Kingdom,Male,21
101151,Czech Republic,Great Britain/United Kingdom,Don't know,Don't know,Don't know,Don't know,Don't know,Female,38
101152,Czech Republic,Austria,Spain,Germany,Don't know,Don't know,Don't know,Male,33
101153,Czech Republic,Belgium,Slovakia,Don't know,Don't know,Don't know,Don't know,Male,21
101154,Czech Republic,Great Britain/United Kingdom,Romania,Germany,Czech Republic,Czech Republic,Don't know,Female,46
101155,Czech Republic,Don't know,Greece,Germany,Don't know,Don't know,Don't know,Male,66
101156,Czech Republic,Germany,Greece,Don't know,Czech Republic,Germany,Don't know,Male,69
101157,Czech Republic,Finland,Romania,Germany,Finland,Sweden,Romania,Male,42
101158,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,22
101159,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,26
101160,Czech Republic,Great Britain/United Kingdom,Greece,France,Great Britain/United Kingdom,Great Britain/United Kingdom,Germany,Male,24
101161,Czech Republic,Germany,Greece,Don't know,Don't know,Don't know,Don't know,Male,66
101162,Czech Republic,Don't know,Czech Republic,Don't know,Don't know,Don't know,Don't know,Female,58
101163,Czech Republic,France,Don't know,Germany,France,Don't know,Don't know,Female,35
101164,Czech Republic,France,Czech Republic,Lithuania,France,Italy,Germany,Female,47
101165,Czech Republic,Netherlands,Romania,Slovakia,Spain,Germany,Finland,Male,35
101166,Czech Republic,Austria,Greece,Don't know,Spain,Germany,Don't know,Female,38
101167,Czech Republic,Germany,Bulgaria,France,Denmark,Greece,Germany,Female,59
101168,Czech Republic,Czech Republic,Germany,France,Slovakia,Poland,Germany,Female,75
101169,Czech Republic,Germany,Greece,Don't know,Don't know,Don't know,Don't know,Male,41
101170,Czech Republic,Germany,Greece,Sweden,Czech Republic,Austria,Denmark,Male,70
101171,Czech Republic,Czech Republic,Romania,Don't know,Don't know,Slovakia,Germany,Female,73
101172,Czech Republic,Germany,Romania,Great Britain/United Kingdom,Italy,Don't know,Portugal,Male,35
101173,Czech Republic,Don't know,Don't know,Germany,Don't know,Don't know,Don't know,Female,35
101174,Czech Republic,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Female,47
101175,Czech Republic,Germany,Greece,Greece,Poland,Slovakia,France,Male,39
101176,Czech Republic,Ireland,Greece,France,Ireland,Don't know,Don't know,Male,43
101177,Czech Republic,Germany,Poland,Greece,Germany,Germany,Don't know,Male,43
101178,Czech Republic,Don't know,Don't know,Germany,Slovakia,Slovakia,Don't know,Female,62
101179,Czech Republic,Germany,Greece,France,Czech Republic,Italy,Great Britain/United Kingdom,Female,26
101180,Czech Republic,Germany,Czech Republic,Czech Republic,Great Britain/United Kingdom,Poland,Czech Republic,Male,58
101181,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,47
101182,Czech Republic,Don't know,Czech Republic,Czech Republic,Don't know,Don't know,Don't know,Female,60
101183,Czech Republic,Netherlands,Czech Republic,Slovakia,Czech Republic,Don't know,Germany,Male,58
101184,Czech Republic,Germany,Czech Republic,Germany,Don't know,Don't know,Germany,Male,47
101185,Czech Republic,Don't know,Germany,Don't know,Belgium,Sweden,Lithuania,Female,74
101186,Czech Republic,Germany,Bulgaria,Germany,Czech Republic,Romania,Germany,Female,52
101187,Czech Republic,Don't know,Slovakia,Germany,Don't know,Greece,Germany,Female,36
101188,Czech Republic,Germany,Bulgaria,France,Slovakia,Poland,Don't know,Female,66
101189,Czech Republic,Don't know,Czech Republic,Germany,Don't know,Don't know,Don't know,Female,Refused
101190,Czech Republic,Italy,Germany,Austria,Poland,Greece,France,Male,37
101191,Czech Republic,Slovakia,Refused,Don't know,Don't know,Don't know,Don't know,Male,58
101192,Czech Republic,Austria,Czech Republic,Germany,France,Don't know,Don't know,Male,18
101193,Czech Republic,Finland,Greece,Greece,Great Britain/United Kingdom,Slovakia,Romania,Male,64
101194,Czech Republic,Don't know,Germany,Germany,Italy,Italy,Czech Republic,Female,27
101195,Czech Republic,Don't know,Germany,Don't know,Poland,Don't know,Don't know,Female,55
101196,Czech Republic,Don't know,Don't know,Czech Republic,Don't know,Don't know,Don't know,Female,65
101197,Czech Republic,Don't know,Don't know,Don't know,Don't know,Czech Republic,Don't know,Female,55
101198,Czech Republic,Don't know,France,Germany,Don't know,Don't know,Don't know,Male,68
101199,Czech Republic,France,Italy,Germany,Sweden,Don't know,Germany,Male,41
101200,Czech Republic,Austria,Slovakia,Germany,Don't know,Austria,Italy,Male,30
101201,Czech Republic,Germany,Greece,Romania,France,Sweden,Romania,Male,51
101202,Czech Republic,Italy,France,France,Italy,Germany,Austria,Male,19
101203,Czech Republic,Austria,Italy,Austria,Slovakia,Slovakia,Germany,Male,48
101204,Czech Republic,Great Britain/United Kingdom,Greece,Don't know,Spain,Sweden,Germany,Female,50
101205,Czech Republic,Germany,Romania,Austria,Don't know,Slovakia,Bulgaria,Male,45
101206,Czech Republic,Don't know,Don't know,Don't know,Don't know,Slovakia,Don't know,Female,40
101207,Czech Republic,Sweden,Italy,Romania,Greece,Czech Republic,France,Female,54
101208,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,80
101209,Czech Republic,Germany,Greece,Don't know,Don't know,Don't know,Don't know,Male,40
101210,Czech Republic,Germany,Romania,France,Germany,Czech Republic,France,Female,35
101211,Czech Republic,Slovakia,Don't know,Italy,Czech Republic,Czech Republic,Don't know,Male,38
101212,Czech Republic,Sweden,Don't know,Don't know,Don't know,Don't know,Don't know,Male,68
101213,Czech Republic,France,Don't know,Poland,France,Czech Republic,Germany,Male,66
101214,Czech Republic,Great Britain/United Kingdom,Don't know,Don't know,Great Britain/United Kingdom,Don't know,Don't know,Male,39
101215,Czech Republic,Netherlands,Greece,Germany,Netherlands,Don't know,Czech Republic,Male,45
101216,Czech Republic,Italy,Don't know,Italy,Slovakia,Italy,Czech Republic,Female,30
101217,Czech Republic,Don't know,Czech Republic,Germany,Don't know,Czech Republic,Germany,Male,44
101218,Czech Republic,Czech Republic,Poland,Germany,France,Don't know,Don't know,Female,51
101219,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,57
101220,Czech Republic,Don't know,Czech Republic,Don't know,France,Don't know,Great Britain/United Kingdom,Female,50
101221,Czech Republic,Germany,Slovakia,Czech Republic,Poland,Czech Republic,Germany,Female,43
101222,Czech Republic,Germany,Czech Republic,Austria,Czech Republic,Don't know,Germany,Female,20
101223,Czech Republic,Sweden,Germany,Germany,Austria,Czech Republic,Germany,Female,54
101224,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,33
101225,Czech Republic,Denmark,Bulgaria,Czech Republic,Denmark,Ireland,Don't know,Male,39
101226,Czech Republic,Czech Republic,Estonia,Germany,Slovakia,Poland,Germany,Female,40
101227,Czech Republic,Sweden,Greece,Germany,Italy,France,Don't know,Male,35
101228,Czech Republic,Germany,Greece,Don't know,Germany,Don't know,Don't know,Female,53
101229,Czech Republic,Great Britain/United Kingdom,Romania,Don't know,Netherlands,Italy,Don't know,Male,38
101230,Czech Republic,Slovakia,Czech Republic,Czech Republic,Slovakia,Czech Republic,Poland,Female,60
101231,Czech Republic,Germany,Greece,Don't know,Germany,Finland,Don't know,Female,56
101232,Czech Republic,Don't know,Don't know,Don't know,Don't know,Slovakia,Don't know,Female,62
101233,Czech Republic,Germany,Greece,Germany,Italy,Czech Republic,Poland,Female,61
101234,Czech Republic,Germany,Greece,France,Austria,Czech Republic,Greece,Male,50
101235,Czech Republic,Germany,Greece,France,Slovakia,Czech Republic,Great Britain/United Kingdom,Female,68
101236,Czech Republic,Sweden,Romania,Germany,Don't know,Don't know,Germany,Male,65
101237,Czech Republic,Slovakia,Refused,Refused,Refused,Refused,Refused,Male,58
101238,Czech Republic,Great Britain/United Kingdom,Greece,Great Britain/United Kingdom,France,Germany,Don't know,Female,40
101239,Czech Republic,Sweden,Czech Republic,Germany,Don't know,Don't know,Germany,Male,38
101240,Czech Republic,Don't know,Poland,Greece,Slovakia,Don't know,Don't know,Male,39
101241,Czech Republic,Sweden,Greece,France,Czech Republic,Don't know,Germany,Male,44
101242,Czech Republic,Spain,Czech Republic,Germany,France,Slovakia,Germany,Male,22
101243,Czech Republic,Finland,Don't know,France,Don't know,Don't know,Don't know,Male,42
101244,Czech Republic,Netherlands,Italy,France,Poland,Netherlands,Germany,Female,36
101245,Czech Republic,Greece,Slovakia,Germany,Spain,Denmark,Austria,Male,65
101246,Czech Republic,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Male,54
101247,Czech Republic,Don't know,Don't know,Don't know,Poland,Don't know,Germany,Male,40
101248,Czech Republic,France,Greece,France,Czech Republic,Germany,Slovakia,Female,18
101249,Czech Republic,Don't know,Germany,Germany,Slovakia,Don't know,Germany,Male,48
101250,Czech Republic,Don't know,Don't know,Germany,Italy,Italy,Germany,Female,40
101251,Czech Republic,Don't know,Poland,Don't know,Austria,Don't know,Don't know,Female,62
101252,Czech Republic,Sweden,Don't know,Don't know,Don't know,Don't know,Germany,Female,68
101253,Czech Republic,Germany,Italy,Don't know,Czech Republic,Don't know,Don't know,Male,64
101254,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,56
101255,Czech Republic,Don't know,Germany,Germany,Poland,Don't know,Don't know,Female,51
101256,Czech Republic,Germany,Czech Republic,Italy,Poland,Spain,Czech Republic,Male,37
101257,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,34
101258,Czech Republic,Austria,Greece,France,Great Britain/United Kingdom,Sweden,Italy,Female,33
101259,Czech Republic,Spain,Don't know,Austria,Spain,Don't know,Don't know,Male,44
101260,Czech Republic,Don't know,Germany,Germany,Poland,Czech Republic,Germany,Female,65
101261,Czech Republic,Sweden,Don't know,Germany,Don't know,Don't know,Don't know,Female,80
101262,Czech Republic,Finland,Romania,France,Czech Republic,Italy,Germany,Male,46
101263,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,48
101264,Czech Republic,Don't know,Don't know,Germany,Don't know,Czech Republic,Germany,Female,33
101265,Czech Republic,Don't know,Don't know,Germany,Don't know,Don't know,Germany,Female,57
101266,Czech Republic,Don't know,Germany,Don't know,Don't know,Don't know,Germany,Female,60
101267,Czech Republic,Germany,Greece,Great Britain/United Kingdom,France,Spain,Don't know,Male,59
101268,Czech Republic,Sweden,Greece,Don't know,France,Don't know,Don't know,Male,59
101269,Czech Republic,Sweden,Romania,Germany,Sweden,Don't know,Don't know,Female,59
101270,Czech Republic,Austria,Germany,Germany,Slovakia,Slovakia,Germany,Female,31
101271,Czech Republic,Germany,Don't know,Germany,Czech Republic,Czech Republic,Don't know,Female,75
101272,Czech Republic,Czech Republic,Don't know,Germany,Don't know,Don't know,Don't know,Male,50
101273,Czech Republic,Germany,Don't know,Don't know,Don't know,Netherlands,Poland,Male,80
101274,Czech Republic,Germany,Greece,Spain,Slovakia,Poland,Don't know,Female,73
101275,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,62
101276,Czech Republic,Belgium,Czech Republic,Germany,France,France,Slovakia,Female,38
101277,Czech Republic,Ireland,Portugal,Don't know,Don't know,Ireland,Germany,Female,32
101278,Czech Republic,Slovakia,Greece,Great Britain/United Kingdom,Slovakia,Slovakia,Don't know,Female,63
101279,Czech Republic,Greece,Germany,Denmark,Spain,Italy,Germany,Female,65
101280,Czech Republic,Austria,Greece,France,Finland,Don't know,Don't know,Female,50
101281,Czech Republic,Germany,Don't know,Don't know,Don't know,Don't know,Don't know,Male,23
101282,Czech Republic,Sweden,Greece,Germany,Finland,Don't know,Don't know,Male,41
101283,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,30
101284,Czech Republic,France,Austria,Germany,Czech Republic,Don't know,Germany,Male,67
101285,Czech Republic,Belgium,Greece,Greece,Don't know,Don't know,Poland,Female,26
101286,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Male,65
101287,Czech Republic,Don't know,Germany,Germany,France,Poland,Germany,Male,60
101288,Czech Republic,Austria,Poland,Don't know,Don't know,Czech Republic,Austria,Female,42
101289,Czech Republic,Germany,Greece,Don't know,Don't know,Don't know,Don't know,Male,26
101290,Czech Republic,Germany,Greece,Poland,Don't know,Don't know,Germany,Male,69
101291,Czech Republic,Refused,Refused,Refused,Refused,Refused,Refused,Female,38
101292,Czech Republic,Germany,Greece,Don't know,Don't know,Refused,Slovakia,Male,26
101293,Czech Republic,Great Britain/United Kingdom,France,Germany,Sweden,Don't know,France,Male,29
101294,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,34
101295,Czech Republic,Luxembourg,Romania,Don't know,Slovakia,Italy,Great Britain/United Kingdom,Female,40
101296,Czech Republic,Czech Republic,Belgium,Czech Republic,Austria,Czech Republic,Poland,Male,20
101297,Czech Republic,Great Britain/United Kingdom,Czech Republic,Germany,Don't know,Czech Republic,Romania,Female,32
101298,Czech Republic,Germany,Greece,Don't know,Don't know,France,Great Britain/United Kingdom,Male,63
101299,Czech Republic,Don't know,Don't know,Germany,Sweden,Czech Republic,Don't know,Female,59
101300,Czech Republic,Czech Republic,Don't know,Germany,Great Britain/United Kingdom,Poland,Don't know,Female,47
101301,Czech Republic,Don't know,Don't know,Czech Republic,Poland,Don't know,Czech Republic,Female,58
101302,Czech Republic,Don't know,Romania,Germany,Slovakia,Italy,Belgium,Female,62
101303,Czech Republic,Don't know,Don't know,Germany,Slovakia,Don't know,Don't know,Female,31
101304,Czech Republic,Germany,Czech Republic,Don't know,Don't know,Germany,Czech Republic,Male,23
101305,Czech Republic,Don't know,Germany,Netherlands,Slovakia,Slovakia,Great Britain/United Kingdom,Female,58
101306,Czech Republic,Don't know,Italy,Don't know,Slovakia,Don't know,Italy,Male,50
101307,Czech Republic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Female,66
101308,Czech Republic,Ireland,Don't know,Don't know,Don't know,Czech Republic,Don't know,Female,54
101309,Czech Republic,Germany,Don't know,Czech Republic,Netherlands,Don't know,Don't know,Female,42
101310,Czech Republic,Don't know,Don't know,Don't know,Don't know,Great Britain/United Kingdom,Czech Republic,Female,22
